PART ID,TYPE,MANUFACTURER,YEAR,Qty,PRECIO,SUBTOTAL INVENTORY,ACTIVE
PART0001,transmission,Audi,2016,6.0,145.77,874.6200000000001,1.0
PART0002,transmission,Honda,2004,2.0,62.79,125.58,
PART0003,battery,Volkswagen,2007,2.0,290.88,581.76,1.0
PART0004,suspension,Toyota,2020,2.0,121.08,242.16,1.0
PART0005,battery,Ford,2009,1.0,450.54,450.54,0.0
PART0006,battery,Toyota,2018,2.0,276.71,553.42,0.0
PART0007,brake,Honda,2009,1.0,303.71,303.71,1.0
PART0008,battery,Toyota,2014,5.0,257.49,1287.45,
PART0009,battery,BMW,2007,2.0,205.3,410.6,
PART0010,engine,Audi,2011,5.0,73.58,367.9,
PART0011,transmission,BMW,2006,7.0,452.49,3167.4300000000003,0.0
PART0012,brake,BMW,2005,9.0,178.04,1602.36,1.0
PART0013,battery,Honda,2013,7.0,315.03,2205.21,0.0
PART0014,brake,Volkswagen,2012,5.0,462.61,2313.05,0.0
PART0015,transmission,Volkswagen,2009,4.0,53.48,213.92,0.0
PART0016,battery,Audi,2002,1.0,183.57,183.57,
PART0017,suspension,Audi,2003,7.0,400.8,2805.6,0.0
PART0018,tire,Volkswagen,2019,4.0,468.05,1872.2,1.0
PART0019,suspension,Ford,2001,1.0,194.4,194.4,
PART0020,suspension,BMW,2014,9.0,142.65,1283.8500000000001,
PART0021,battery,Volkswagen,2018,1.0,109.76,109.76,1.0
PART0022,transmission,Ford,2009,2.0,129.07,258.14,
PART0023,tire,Honda,2009,4.0,375.56,1502.24,0.0
PART0024,brake,Volkswagen,2012,2.0,265.75,531.5,1.0
PART0025,tire,Volkswagen,2021,6.0,237.26,1423.56,0.0
PART0026,tire,Volkswagen,2005,5.0,162.78,813.9,
PART0027,engine,BMW,2015,9.0,467.68,4209.12,1.0
PART0028,transmission,Toyota,2001,1.0,244.86,244.86,0.0
PART0029,engine,Mercedes,2021,6.0,163.85,983.0999999999999,
PART0030,tire,Toyota,2013,3.0,412.19,1236.57,1.0
PART0031,tire,Honda,2007,5.0,291.96,1459.8,0.0
PART0032,suspension,Mercedes,2017,8.0,162.97,1303.76,
PART0033,suspension,Toyota,2019,9.0,90.51,814.59,1.0
PART0034,engine,Honda,2011,3.0,106.2,318.6,
PART0035,suspension,Mercedes,2001,2.0,422.02,844.04,0.0
PART0036,engine,Ford,2013,8.0,239.65,1917.2,1.0
PART0037,tire,Toyota,2006,6.0,190.56,1143.3600000000001,0.0
PART0038,suspension,Volkswagen,2022,1.0,217.02,217.02,
PART0039,tire,Ford,2022,6.0,404.14,2424.84,1.0
PART0040,brake,Audi,2015,3.0,57.15,171.45,1.0
PART0041,battery,Toyota,2016,7.0,140.51,983.5699999999999,0.0
PART0042,engine,BMW,2000,4.0,175.92,703.68,1.0
PART0043,tire,BMW,2017,4.0,293.51,1174.04,1.0
PART0044,suspension,Audi,2008,7.0,123.34,863.38,
PART0045,suspension,Honda,2002,5.0,94.49,472.45,1.0
PART0046,suspension,Volkswagen,2015,1.0,292.72,292.72,
PART0047,engine,Honda,2015,4.0,398.05,1592.2,
PART0048,transmission,Mercedes,2007,1.0,217.15,217.15,1.0
PART0049,transmission,BMW,2006,1.0,55.53,55.53,
PART0050,tire,Audi,2019,7.0,303.27,2122.89,
PART0051,transmission,Ford,2006,7.0,412.59,2888.1299999999997,0.0
PART0052,brake,Toyota,2021,4.0,305.5,1222.0,
PART0053,transmission,Honda,2003,2.0,123.04,246.08,0.0
PART0054,engine,BMW,2015,9.0,363.12,3268.08,1.0
PART0055,tire,BMW,2018,6.0,81.35,488.09999999999997,
PART0056,tire,Volkswagen,2018,8.0,295.38,2363.04,0.0
PART0057,tire,BMW,2006,9.0,483.5,4351.5,0.0
PART0058,engine,Mercedes,2015,6.0,163.43,980.58,1.0
PART0059,transmission,BMW,2018,1.0,271.06,271.06,
PART0060,tire,BMW,2022,7.0,279.08,1953.56,
PART0061,engine,Mercedes,2000,4.0,341.94,1367.76,
PART0062,engine,Toyota,2014,2.0,128.92,257.84,0.0
PART0063,brake,Audi,2013,7.0,445.91,3121.3700000000003,1.0
PART0064,battery,BMW,2020,5.0,323.11,1615.5500000000002,1.0
PART0065,battery,BMW,2004,6.0,320.45,1922.6999999999998,1.0
PART0066,suspension,Audi,2009,4.0,147.73,590.92,1.0
PART0067,suspension,Toyota,2009,7.0,248.5,1739.5,0.0
PART0068,brake,Volkswagen,2000,6.0,325.97,1955.8200000000002,1.0
PART0069,suspension,BMW,2021,2.0,134.51,269.02,
PART0070,battery,Mercedes,2010,6.0,198.17,1189.02,
PART0071,battery,Toyota,2010,4.0,435.98,1743.92,0.0
PART0072,engine,Volkswagen,2008,5.0,272.42,1362.1000000000001,1.0
PART0073,tire,Toyota,2018,7.0,270.51,1893.57,
PART0074,engine,Ford,2007,1.0,279.2,279.2,1.0
PART0075,battery,Honda,2002,4.0,229.21,916.84,1.0
PART0076,engine,Mercedes,2002,8.0,429.99,3439.92,
PART0077,transmission,Toyota,2022,5.0,379.12,1895.6,
PART0078,engine,Ford,2019,8.0,473.04,3784.32,0.0
PART0079,battery,BMW,2018,3.0,208.01,624.03,
PART0080,transmission,Ford,2002,6.0,349.62,2097.7200000000003,
PART0081,suspension,Volkswagen,2014,3.0,120.09,360.27,
PART0082,brake,Audi,2017,4.0,80.18,320.72,1.0
PART0083,suspension,Audi,2017,8.0,212.76,1702.08,1.0
PART0084,battery,Audi,2001,2.0,110.65,221.3,0.0
PART0085,suspension,Ford,2016,6.0,312.51,1875.06,1.0
PART0086,battery,BMW,2016,9.0,357.24,3215.16,0.0
PART0087,suspension,Ford,2002,7.0,115.6,809.1999999999999,
PART0088,brake,Toyota,2016,3.0,244.26,732.78,1.0
PART0089,engine,Audi,2014,8.0,341.52,2732.16,1.0
PART0090,brake,Ford,2000,1.0,118.91,118.91,0.0
PART0091,suspension,BMW,2012,8.0,399.89,3199.12,1.0
PART0092,transmission,Audi,2008,7.0,482.31,3376.17,
PART0093,transmission,Volkswagen,2018,5.0,260.7,1303.5,0.0
PART0094,brake,Toyota,2018,4.0,217.39,869.56,1.0
PART0095,brake,Ford,2000,6.0,366.62,2199.7200000000003,
PART0096,engine,Ford,2004,1.0,405.99,405.99,
PART0097,transmission,Mercedes,2015,4.0,418.47,1673.88,
PART0098,tire,Audi,2011,7.0,437.9,3065.2999999999997,
PART0099,transmission,Mercedes,2021,4.0,81.14,324.56,0.0
PART0100,battery,Honda,2007,2.0,331.1,662.2,
PART0101,transmission,Honda,2009,7.0,106.82,747.74,0.0
PART0102,brake,Volkswagen,2009,3.0,164.81,494.43,1.0
PART0103,transmission,Toyota,2000,7.0,64.01,448.07000000000005,1.0
PART0104,transmission,Volkswagen,2003,9.0,110.39,993.51,
PART0105,transmission,Honda,2016,1.0,61.5,61.5,
PART0106,engine,BMW,2004,1.0,279.74,279.74,
PART0107,tire,Volkswagen,2019,4.0,200.82,803.28,
PART0108,battery,BMW,2005,4.0,78.03,312.12,1.0
PART0109,transmission,Toyota,2003,7.0,466.69,3266.83,
PART0110,transmission,Ford,2006,8.0,401.53,3212.24,0.0
PART0111,battery,Audi,2001,2.0,440.79,881.58,
PART0112,transmission,BMW,2000,9.0,182.75,1644.75,
PART0113,transmission,Audi,2016,9.0,426.84,3841.56,
PART0114,engine,Mercedes,2009,3.0,372.29,1116.8700000000001,
PART0115,tire,Ford,2013,9.0,362.23,3260.07,0.0
PART0116,engine,Toyota,2002,3.0,96.47,289.40999999999997,
PART0117,engine,Mercedes,2005,2.0,358.21,716.42,
PART0118,battery,Toyota,2015,6.0,220.76,1324.56,
PART0119,engine,Toyota,2009,1.0,213.81,213.81,0.0
PART0120,brake,Mercedes,2000,2.0,58.41,116.82,1.0
PART0121,brake,Toyota,2012,8.0,480.15,3841.2,
PART0122,brake,Mercedes,2006,8.0,462.8,3702.4,1.0
PART0123,transmission,Mercedes,2016,6.0,164.26,985.56,
PART0124,suspension,Ford,2001,8.0,395.62,3164.96,1.0
PART0125,suspension,Honda,2013,8.0,422.68,3381.44,0.0
PART0126,battery,Toyota,2019,8.0,58.49,467.92,0.0
PART0127,tire,Mercedes,2016,8.0,126.13,1009.04,0.0
PART0128,battery,Toyota,2015,9.0,319.03,2871.2699999999995,1.0
PART0129,engine,Toyota,2017,1.0,70.99,70.99,
PART0130,suspension,Mercedes,2022,3.0,379.28,1137.84,
PART0131,engine,Audi,2001,8.0,377.37,3018.96,
PART0132,brake,Audi,2014,9.0,443.18,3988.62,0.0
PART0133,battery,Volkswagen,2013,2.0,213.7,427.4,1.0
PART0134,battery,Toyota,2015,9.0,338.17,3043.53,
PART0135,brake,Honda,2005,6.0,172.93,1037.58,
PART0136,transmission,Mercedes,2012,7.0,336.94,2358.58,
PART0137,tire,Audi,2019,2.0,331.04,662.08,1.0
PART0138,brake,Toyota,2010,6.0,136.73,820.3799999999999,
